255,0,221.84,32.13;
255,533,220.12,32.13;
255,535,220.14,32.06;
255,534,220.12,32.13;
255,535,220.53,32.13;
255,534,220.21,32.06;
255,534,219.78,32.06;
255,534,220.52,32.13;
255,535,220.53,32.06;
255,534,220.57,32.06;
255,535,220.22,32.13;
255,533,220.24,32.13;
255,535,220.10,32.13;
255,534,220.15,32.13;
255,535,220.10,32.13;
255,534,220.14,32.13;
255,535,220.21,32.13;
255,533,220.19,32.13;
255,535,220.10,32.13;
255,534,220.15,32.13;
255,535,220.10,32.13;
255,534,220.24,32.13;
255,534,220.21,32.13;
255,535,220.09,32.19;
255,534,220.10,32.13;
255,535,220.12,32.13;
255,534,220.12,32.13;
255,535,220.22,32.13;
255,533,220.21,32.13;
255,535,220.55,32.13;
255,534,220.53,32.13;
255,535,220.12,32.13;
255,534,220.14,32.13;
255,535,220.22,32.13;
255,533,220.22,32.13;
255,535,220.12,32.13;
255,534,220.12,32.19;
255,535,220.14,32.13;
255,534,220.22,32.13;
255,534,220.24,32.13;
255,534,220.10,32.13;
255,535,220.09,32.13;
255,534,220.09,32.13;
255,535,220.09,32.13;
255,534,220.21,32.13;
255,534,220.24,32.13;
255,535,220.12,32.13;
