278,25.63,-127,23.44,24.69,24.13,23.88,52
492,25.63,-127,23.44,24.69,24.13,23.88,52
707,25.63,-127,23.44,24.63,24.19,23.94,51.88
1967,25.56,-127,23.38,24.69,24.13,23.88,51.88
4146,25.56,-127,23.38,24.63,24.13,23.88,51.81
6324,25.5,-127,23.31,24.63,24.13,23.88,51.75
8502,25.5,-127,23.31,24.63,24.06,23.88,51.75
10680,25.44,-127,23.31,24.63,24.13,23.88,51.75
12858,25.44,-127,23.38,24.63,24.06,23.88,51.75
15036,25.38,-127,23.31,24.56,24.13,23.88,51.69
17214,25.38,-127,23.31,24.63,24.06,23.81,51.75
,,,,,,,
,,,,,,,
19392,25.38,-127,23.25,24.56,24.13,23.81,51.75
,,,,,,,
,,,,,,,
21570,25.38,-127,23.25,24.56,24.13,23.81,51.81
,,,,,,,
,,,,,,,
23748,25.31,-127,23.25,24.56,24.06,23.81,51.81
,,,,,,,
,,,,,,,
25925,25.31,-127,23.25,24.56,24.06,23.81,51.75
,,,,,,,
,,,,,,,
28103,25.31,-127,23.19,24.56,24,23.81,51.75
,,,,,,,
,,,,,,,
30281,25.25,-127,23.19,24.5,24.06,23.75,51.81
,,,,,,,
,,,,,,,
32459,25.25,-127,23.19,24.5,24.06,23.81,51.75
,,,,,,,
,,,,,,,
34637,25.19,-127,23.19,24.5,24.06,23.81,51.81
,,,,,,,
,,,,,,,
36815,-127,-127,23.19,24.5,24,23.75,51.81
,,,,,,,
,,,,,,,
38901,25.19,-127,23.19,24.5,24,23.75,51.81
,,,,,,,
,,,,,,,
41079,25.13,-127,23.13,24.44,24.06,23.75,51.81
,,,,,,,
,,,,,,,
43256,25.25,-127,23.13,24.44,24,23.81,51.81
,,,,,,,
,,,,,,,
45434,25.31,-127,23.13,24.44,24.06,23.81,51.81
,,,,,,,
,,,,,,,
47612,25.38,-127,23.06,24.44,24,23.75,51.81
,,,,,,,
,,,,,,,
49790,25.44,-127,23,24.38,24,23.75,51.94
,,,,,,,
,,,,,,,
51969,25.44,-127,23,24.38,24,23.75,51.88
,,,,,,,
,,,,,,,
54147,25.5,-127,23,24.38,24,23.75,52
,,,,,,,
,,,,,,,
56325,25.56,25.38,23,24.38,24.06,23.75,52
,,,,,,,
,,,,,,,
58536,25.56,25.38,23,24.38,23.94,23.75,52
,,,,,,,
,,,,,,,
60747,25.63,25.38,22.94,24.38,24,23.75,52
,,,,,,,
,,,,,,,
62959,25.69,25.31,23,24.31,23.94,23.69,52
,,,,,,,
,,,,,,,
65170,25.69,25.31,22.94,24.31,24,23.69,52
,,,,,,,
,,,,,,,
67382,25.69,25.38,22.94,24.31,24,23.75,52.06
,,,,,,,
,,,,,,,
69593,25.75,25.31,22.94,24.25,24,23.69,52.06
,,,,,,,
,,,,,,,
71804,25.75,25.31,22.88,24.25,24,23.69,52.13
,,,,,,,
,,,,,,,
74015,25.69,25.38,22.88,24.31,23.94,23.69,52.19
,,,,,,,
,,,,,,,
76227,25.75,25.31,22.88,24.25,23.94,23.69,52.31
,,,,,,,
,,,,,,,
78439,25.75,25.31,22.88,24.31,23.94,23.69,52.31
,,,,,,,
,,,,,,,
80650,25.69,25.31,22.81,24.25,23.94,23.69,52.38
,,,,,,,
,,,,,,,
82862,25.69,25.25,22.81,24.19,23.94,23.75,52.38
,,,,,,,
,,,,,,,
85072,25.69,25.25,22.81,24.19,23.94,23.69,52.31
,,,,,,,
,,,,,,,
87284,25.63,25.25,22.81,24.19,23.94,23.69,52.31
,,,,,,,
,,,,,,,
89495,25.63,25.25,22.75,24.19,23.94,23.69,52.38
,,,,,,,
,,,,,,,
91707,25.63,25.25,22.75,24.19,23.94,23.69,52.38
,,,,,,,
,,,,,,,
93918,25.63,25.25,22.75,24.19,23.94,-127,52.38
,,,,,,,
,,,,,,,
96130,25.63,25.25,22.69,24.19,23.88,23.63,52.44
,,,,,,,
,,,,,,,
98341,25.56,25.19,22.69,24.13,23.88,23.63,52.44
,,,,,,,
,,,,,,,
100552,25.56,25.19,22.63,24.13,23.94,23.63,52.5
,,,,,,,
,,,,,,,
102764,25.56,25.19,22.56,24.06,23.94,23.63,52.5
,,,,,,,
,,,,,,,
104976,25.56,25.19,22.56,24.06,23.94,23.63,52.56
,,,,,,,
,,,,,,,
107187,25.5,25.13,22.5,24.06,23.94,23.63,52.56
,,,,,,,
,,,,,,,
109399,25.5,25.19,22.44,24.06,23.94,23.63,52.56
,,,,,,,
,,,,,,,
111610,25.56,25.13,22.44,24.06,23.94,23.56,52.56
,,,,,,,
,,,,,,,
113821,25.5,25.13,22.44,24.06,23.94,23.56,52.56
,,,,,,,
,,,,,,,
116033,25.5,25.13,22.44,24,23.94,23.56,52.63
,,,,,,,
,,,,,,,
118245,25.5,25.13,22.31,23.94,23.88,23.56,52.63
,,,,,,,
,,,,,,,
120457,25.44,25.06,22.31,23.94,23.94,23.56,52.63
,,,,,,,
,,,,,,,
122669,25.44,25.13,22.31,24,23.94,23.56,52.69
,,,,,,,
,,,,,,,
124879,25.44,25.13,22.25,23.94,23.94,23.56,52.69
,,,,,,,
,,,,,,,
127091,25.44,25.06,22.19,23.94,23.94,23.5,52.69
,,,,,,,
,,,,,,,
129303,25.38,25.06,22.19,23.94,23.94,23.5,52.69
,,,,,,,
,,,,,,,
131514,25.38,25.06,22.19,23.88,23.88,23.5,52.75
,,,,,,,
,,,,,,,
133726,25.38,25.06,22.19,23.88,23.94,23.5,52.88
,,,,,,,
,,,,,,,
135938,25.38,25.06,22.06,23.81,23.88,23.5,52.81
,,,,,,,
,,,,,,,
138149,25.38,25.06,22.06,23.81,23.94,23.44,52.88
,,,,,,,
,,,,,,,
140361,25.31,25,22.06,23.81,23.88,23.44,52.94
,,,,,,,
,,,,,,,
142573,25.31,25,22.06,23.81,23.88,23.44,52.94
,,,,,,,
,,,,,,,
144785,25.31,25,22,23.75,23.94,23.44,52.94
,,,,,,,
,,,,,,,
146996,25.31,25,22,23.75,23.88,23.44,53
,,,,,,,
,,,,,,,
149208,25.25,24.94,22,23.75,23.88,23.44,53
,,,,,,,
,,,,,,,
151419,25.25,25,21.94,23.81,23.88,23.44,53.06
,,,,,,,
,,,,,,,
153631,25.31,25,21.94,23.75,23.88,23.44,53.13
,,,,,,,
,,,,,,,
155843,25.25,25,21.94,23.81,23.88,23.38,53.13
,,,,,,,
,,,,,,,
158055,25.25,24.94,21.94,23.81,23.88,23.38,53.13
,,,,,,,
,,,,,,,
160267,25.25,25,21.88,23.75,23.88,23.38,53.13
,,,,,,,
,,,,,,,
162479,25.25,24.94,21.88,23.75,23.88,23.31,53.19
,,,,,,,
,,,,,,,
164690,25.25,25,21.88,23.69,23.88,23.38,53.13
,,,,,,,
,,,,,,,
166902,25.25,24.94,21.88,23.75,23.88,23.38,53.19
,,,,,,,
,,,,,,,
169114,25.19,24.94,21.81,23.69,23.94,23.38,53.25
,,,,,,,
