8.88,29.50,27.50,26.75,26.44,38.81;
171958,28.13,28.81,26.75,26.13,26.00,36.63;

173645,28.13,28.75,26.75,26.13,26.00,36.69;

175333,28.13,28.75,26.75,26.13,26.00,36.75;

177021,28.06,28.75,26.81,26.13,26.00,36.69;

178709,28.06,28.75,26.81,26.19,26.00,36.75;

180397,28.06,28.75,26.75,26.19,26.00,36.75;

182085,28.06,28.75,26.75,26.13,26.00,36.81;

183773,28.00,28.69,26.75,26.13,26.00,36.81;

185460,28.00,28.63,26.75,26.13,26.00,36.81;

187148,28.00,28.69,26.75,26.13,26.00,36.88;

188836,27.94,28.69,26.75,26.13,26.00,36.94;

190524,28.00,28.69,26.69,26.13,25.94,36.94;

192211,28.00,28.69,26.75,26.13,25.94,37.00;

193900,28.00,28.63,26.75,26.13,25.94,37.00;

195588,27.94,28.63,26.75,26.13,25.94,37.00;

197275,27.94,28.63,26.75,26.13,25.94,37.00;

198964,27.94,28.63,26.69,26.13,25.94,37.00;

200651,27.94,28.63,26.75,26.13,25.94,37.06;

202339,27.94,28.56,26.75,26.13,26.00,37.06;

204026,27.94,28.56,26.75,26.13,25.94,37.06;

205715,27.94,28.63,26.75,26.13,25.94,37.00;

207403,27.94,28.56,26.75,26.13,26.00,37.00;

209090,27.88,28.56,26.75,26.06,25.94,36.88;

210778,27.88,28.63,26.75,26.13,25.94,36.94;

212466,27.88,28.63,26.69,26.13,25.94,36.88;

214154,27.88,28.56,26.69,26.13,25.94,36.94;

215841,27.88,28.63,26.69,26.13,25.94,37.00;

217530,27.81,28.56,26.63,26.13,25.94,36.94;

219217,27.81,28.50,26.69,26.13,25.94,37.00;

220905,27.81,28.50,26.69,26.06,25.94,37.06;

222594,27.81,28.50,26.69,26.06,25.88,37.06;

224281,27.81,28.50,26.69,26.13,25.94,37.13;

225969,27.81,28.44,26.69,26.13,25.94,37.13;

227656,27.75,28.50,26.69,26.13,25.94,37.13;

229344,27.81,28.44,26.69,26.06,25.94,37.13;

231032,27.75,28.44,26.69,26.06,25.94,37.13;

232720,27.81,28.44,26.69,26.06,25.94,37.06;

234407,27.81,28.56,26.75,26.06,25.88,37.13;

236095,27.75,28.50,26.69,26.13,25.94,37.06;

237786,27.75,28.50,26.69,26.06,25.94,37.00;

239473,27.75,28.50,26.69,26.13,25.94,37.00;

241162,27.75,-127.00,26.69,26.06,25.94,37.06;

242817,27.69,-127.00,26.69,26.06,25.94,37.13;

244471,27.69,-127.00,26.69,26.06,25.94,37.06;

246126,27.69,-127.00,26.69,26.06,25.88,37.13;

247782,27.63,-127.00,26.69,26.06,25.94,37.13;

249437,27.63,-127.00,26.69,26.13,25.94,37.13;

251091,27.63,-127.00,26.69,26.13,25.88,37.13;

252747,27.69,-127.00,26.63,26.13,25.94,37.19;

254402,27.69,-127.00,26.69,26.06,25.88,37.19;

256058,27.75,-127.00,26.69,26.13,25.94,37.13;

257713,27.88,-127.00,26.63,26.06,25.94,37.13;

259367,27.94,-127.00,26.63,26.06,25.94,37.13;

261023,28.00,-127.00,26.63,26.06,25.94,37.06;

262678,28.00,-127.00,26.63,26.06,25.94,37.06;

264333,28.00,-127.00,26.63,26.06,25.94,37.06;

265989,28.06,-127.00,26.56,26.06,25.94,37.13;

267643,28.06,-127.00,26.63,26.06,25.88,37.06;

269299,28.06,-127.00,26.63,26.06,25.94,37.06;

270954,28.00,-127.00,26.63,26.06,25.94,37.13;

272609,28.00,-127.00,26.63,26.00,25.94,37.13;

274265,28.00,-127.00,26.63,26.06,25.88,37.13;

275919,27.94,-127.00,26.56,26.06,25.88,37.13;

277574,27.94,-127.00,26.63,26.00,25.88,37.13;

279230,27.88,-127.00,26.56,26.06,25.94,37.13;

280885,27.88,-127.00,26.56,26.06,25.88,37.06;

282540,27.81,-127.00,26.63,26.00,25.88,37.13;

284194,27.81,-127.00,26.63,26.06,25.88,37.06;

285850,27.75,-127.00,26.56,26.00,25.88,37.13;

287505,27.75,-127.00,26.63,26.00,25.88,37.06;

289160,27.69,-127.00,26.56,26.00,25.88,37.06;

290816,27.69,-127.00,26.56,26.00,25.88,37.06;

292470,27.63,-127.00,26.56,26.00,25.88,37.06;

294125,27.63,-127.00,26.56,26.00,25.81,37.06;

295781,27.56,-127.00,26.56,26.00,25.88,37.00;

297436,27.56,-127.00,26.56,26.00,25.88,37.00;

299090,27.50,-127.00,26.56,26.00,25.88,37.00;

300745,27.50,-127.00,26.50,26.00,25.88,37.00;

302401,27.50,27.63,26.50,26.00,25.81,37.00;

304089,27.44,27.63,26.50,26.00,25.88,37.00;

305776,27.44,27.56,26.50,26.00,25.88,37.00;

307465,27.38,27.50,26.50,26.00,25.81,37.00;

309152,27.38,27.44,26.44,25.94,25.81,36.94;

310841,27.31,27.38,26.44,26.00,25.88,36.94;

312528,27.31,27.38,26.50,26.00,25.81,36.94;

314216,27.31,27.38,26.50,26.00,25.81,36.94;

315905,27.25,27.31,26.50,25.94,25.81,36.94;

317592,27.19,27.25,26.50,26.00,25.81,36.94;

319280,27.19,27.25,26.44,26.00,25.81,37.00;

320968,27.19,27.25,26.50,26.00,25.88,37.00;

322656,27.13,27.25,26.44,25.94,25.81,36.94;

324343,27.13,27.19,26.44,25.94,25.88,36.88;

326032,27.13,27.19,26.44,25.94,25.81,36.94;

327719,27.06,27.19,26.44,25.94,25.81,36.94;

329408,27.06,27.13,26.44,25.94,25.81,36.94;

331096,27.06,27.06,26.44,25.94,25.81,36.94;

332784,27.00,27.06,26.44,25.94,25.81,36.94;

334472,26.94,27.00,26.44,25.94,25.81,36.94;

336160,26.94,27.00,26.44,25.94,25.81,36.88;

337848,26.94,27.00,26.44,25.94,25.81,36.88;

339535,26.88,26.94,26.44,25.94,25.81,36.88;

341224,26.88,26.94,26.44,25.94,25.81,36.88;

342912,26.88,26.94,26.44,25.94,25.81,36.88;

344600,26.81,26.94,26.38,25.94,25.81,36.88;

346288,26.81,26.88,26.38,25.94,25.75,36.88;

347976,26.81,26.81,26.38,25.94,25.81,36.88;

349664,26.75,26.81,26.38,25.88,25.75,36.88;

351352,26.75,26.75,26.38,25.88,25.81,36.81;

353041,26.75,26.81,26.38,25.88,25.81,36.81;

354728,26.75,26.75,26.38,25.88,25.75,36.81;

